cycle_id,scenario_id,truck_id,shovel_id,load_zone,dump_zone,timestamp_utc,load_min,haul_min,dump_min,queue_min,return_min,payload_t,material
C00083,scraper_train,T05,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:01:00Z,5.288,9.299,1.424,9.166,9.270,40.148,waste
C00105,scraper_train,T06,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:04:00Z,5.166,9.963,0.985,8.234,9.616,39.602,waste
C00125,scraper_train,T07,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:05:00Z,5.543,8.527,1.526,11.583,8.030,41.012,low_grade
C00001,scraper_train,T01,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:06:00Z,5.465,9.577,0.997,1.237,9.395,39.040,waste
C00043,scraper_train,T03,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:09:00Z,7.686,10.308,1.286,4.051,9.063,40.372,low_grade
C00022,scraper_train,T02,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:10:00Z,6.780,9.037,0.963,3.220,7.080,39.953,waste
C00144,scraper_train,T08,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:12:00Z,5.708,8.205,1.136,6.300,6.793,39.515,waste
C00064,scraper_train,T04,train-01,pit-strip-north,push-dump-berm-east,2026-01-01T06:14:00Z,5.268,8.854,0.841,0.838,8.150,40.460,waste
C00002,scraper_train,T01,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:32:40.230Z,7.645,6.787,1.225,1.604,7.135,40.494,waste
C00084,scraper_train,T05,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:35:26.821Z,4.762,8.169,1.235,26.171,8.037,38.796,low_grade
C00023,scraper_train,T02,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:37:04.796Z,4.849,9.924,1.206,2.845,8.212,39.214,waste
C00065,scraper_train,T04,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:37:57.138Z,6.662,9.296,1.730,11.189,8.074,40.526,waste
C00106,scraper_train,T06,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:37:57.833Z,5.998,8.684,1.870,1.508,7.383,39.804,waste
C00145,scraper_train,T08,train-02,pit-strip-north,push-dump-berm-east,2026-01-01T06:40:08.547Z,5.272,10.528,1.347,11.791,8.521,40.236,low_grade
