event_id,truck_id,event_type,start_utc,end_utc,duration_h,root_cause
E0001,T07,breakdown,2026-01-02T16:32:19.181Z,2026-01-02T18:00:00Z,1.461,engine
E0002,T01,breakdown,2026-01-04T06:57:01.173Z,2026-01-04T10:27:01.173Z,3.500,tyre
E0003,T02,breakdown,2026-01-04T12:10:03.974Z,2026-01-04T15:40:03.974Z,3.500,hydraulic
E0004,T07,breakdown,2026-01-06T07:50:10.969Z,2026-01-06T11:20:10.969Z,3.500,tyre
E0006,T06,breakdown,2026-01-10T10:43:45.756Z,2026-01-10T14:13:45.756Z,3.500,engine
E0005,T02,breakdown,2026-01-10T17:00:31.437Z,2026-01-10T18:00:00Z,0.991,hydraulic
E0007,T04,breakdown,2026-01-11T17:00:02.698Z,2026-01-11T18:00:00Z,0.999,engine
E0008,T02,breakdown,2026-01-12T15:35:54.339Z,2026-01-12T18:00:00Z,2.402,engine
E0009,T01,breakdown,2026-01-13T13:07:53.772Z,2026-01-13T16:37:53.772Z,3.500,tyre
E0010,T06,breakdown,2026-01-13T16:02:38.995Z,2026-01-13T18:00:00Z,1.956,brake
E0011,T02,breakdown,2026-01-14T08:38:53.644Z,2026-01-14T12:08:53.644Z,3.500,tyre
E0012,T03,breakdown,2026-01-15T12:37:35.850Z,2026-01-15T16:07:35.850Z,3.500,tyre
E0013,T01,breakdown,2026-01-16T11:42:39.291Z,2026-01-16T15:12:39.291Z,3.500,electrical
E0014,T05,breakdown,2026-01-25T09:20:03.620Z,2026-01-25T12:50:03.620Z,3.500,brake
E0016,T05,breakdown,2026-01-27T07:36:19.438Z,2026-01-27T11:06:19.438Z,3.500,hydraulic
E0015,T03,breakdown,2026-01-27T16:08:08.505Z,2026-01-27T18:00:00Z,1.864,tyre
E0017,T03,breakdown,2026-01-29T16:21:01.923Z,2026-01-29T18:00:00Z,1.649,tyre
E0018,T08,breakdown,2026-01-29T17:31:53.397Z,2026-01-29T18:00:00Z,0.469,engine
