cycle_id,scenario_id,truck_id,shovel_id,load_zone,dump_zone,timestamp_utc,load_min,haul_min,dump_min,queue_min,return_min,payload_t,material
C00042,truck_shovel,T03,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:01:00Z,3.551,12.876,1.936,5.111,11.214,218.640,waste
C00081,truck_shovel,T05,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:04:00Z,3.088,13.360,3.026,8.033,14.455,214.546,waste
C00062,truck_shovel,T04,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:06:00Z,4.048,15.459,1.416,3.764,8.647,219.315,low_grade
C00001,truck_shovel,T01,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:09:00Z,3.270,9.796,1.923,0.497,10.770,217.593,waste
C00022,truck_shovel,T02,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:11:00Z,3.322,13.887,2.140,9.614,13.043,215.436,waste
C00120,truck_shovel,T07,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:11:00Z,4.813,11.953,3.144,5.822,12.159,221.928,waste
C00140,truck_shovel,T08,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:12:00Z,2.953,10.872,2.156,0.356,11.596,217.981,low_grade
C00100,truck_shovel,T06,SH-01,pit-strip-north,waste-dump-west,2026-01-01T06:14:00Z,3.251,10.746,1.583,12.056,13.042,207.809,waste
C00002,truck_shovel,T01,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:35:15.324Z,4.077,12.398,1.801,0.726,11.972,214.761,waste
C00043,truck_shovel,T03,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:35:41.201Z,4.006,13.069,3.007,17.775,12.537,212.864,low_grade
C00063,truck_shovel,T04,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:39:20.062Z,3.124,12.796,1.585,14.645,11.267,215.139,waste
C00141,truck_shovel,T08,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:39:55.978Z,4.309,10.973,1.236,6.123,9.294,221.751,waste
C00082,truck_shovel,T05,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:45:57.756Z,3.064,14.620,2.895,0.992,11.922,218.787,waste
C00121,truck_shovel,T07,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:48:53.451Z,3.292,12.544,2.702,8.727,10.677,206.394,waste
C00023,truck_shovel,T02,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:53:00.324Z,3.923,13.649,2.046,0.270,12.997,208.736,waste
C00101,truck_shovel,T06,SH-02,pit-strip-north,waste-dump-west,2026-01-01T06:54:40.620Z,2.922,12.295,2.239,6.692,14.477,211.428,waste
C00003,truck_shovel,T01,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:06:13.758Z,3.375,15.518,1.874,2.718,8.965,210.027,waste
C00142,truck_shovel,T08,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:11:52.054Z,3.512,11.351,2.569,2.309,10.308,222.072,waste
C00083,truck_shovel,T05,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:19:27.321Z,3.074,10.505,2.390,3.862,7.394,215.780,waste
C00064,truck_shovel,T04,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:22:45.064Z,4.995,13.210,2.334,20.130,12.653,206.275,waste
C00024,truck_shovel,T02,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:25:53.370Z,3.571,13.335,1.500,5.791,13.355,222.217,waste
C00044,truck_shovel,T03,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:26:04.794Z,4.812,12.443,1.681,11.137,10.637,207.375,waste
C00122,truck_shovel,T07,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:26:49.993Z,3.989,12.668,1.426,6.346,11.562,216.674,waste
C00102,truck_shovel,T06,SH-01,pit-strip-north,waste-dump-west,2026-01-01T07:33:18.085Z,3.014,12.085,1.731,1.155,10.595,222.244,waste
C00004,truck_shovel,T01,SH-02,pit-strip-north,waste-dump-west,2026-01-01T07:38:40.803Z,3.689,13.350,2.368,3.260,13.018,209.441,waste
C00143,truck_shovel,T08,SH-02,pit-strip-north,waste-dump-west,2026-01-01T07:41:54.975Z,3.086,12.261,2.231,21.648,13.438,211.562,waste
C00084,truck_shovel,T05,SH-02,pit-strip-north,waste-dump-west,2026-01-01T07:46:40.810Z,3.421,12.061,2.074,14.210,9.353,209.614,waste
C00103,truck_shovel,T06,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:01:52.824Z,3.185,15.575,1.546,1.040,15.367,211.960,waste
C00123,truck_shovel,T07,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:02:49.426Z,3.939,12.973,1.916,6.792,12.244,209.091,waste
C00025,truck_shovel,T02,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:03:26.565Z,3.590,12.685,1.978,14.671,7.813,214.431,waste
C00045,truck_shovel,T03,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:06:47.391Z,2.954,15.126,2.267,6.768,11.857,219.554,waste
C00005,truck_shovel,T01,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:14:21.898Z,3.356,12.816,1.731,0.775,10.702,214.312,waste
C00065,truck_shovel,T04,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:16:04.389Z,3.502,11.032,1.792,2.138,10.550,216.860,waste
C00085,truck_shovel,T05,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:27:47.932Z,4.079,11.734,2.036,19.187,12.975,215.172,waste
C00144,truck_shovel,T08,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:34:34.839Z,3.164,8.710,1.836,2.795,10.329,205.899,waste
C00104,truck_shovel,T06,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:38:35.635Z,3.148,11.729,1.589,2.302,8.705,212.905,low_grade
C00124,truck_shovel,T07,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:40:41.240Z,3.441,13.406,2.060,1.863,13.724,206.372,waste
C00006,truck_shovel,T01,SH-02,pit-strip-north,waste-dump-west,2026-01-01T08:43:44.686Z,3.867,14.222,1.891,5.071,11.146,209.842,waste
C00026,truck_shovel,T02,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:44:10.816Z,3.594,12.181,1.904,21.183,12.787,206.785,waste
C00066,truck_shovel,T04,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:45:05.203Z,3.265,12.862,1.270,6.134,9.961,216.318,waste
C00046,truck_shovel,T03,SH-01,pit-strip-north,waste-dump-west,2026-01-01T08:45:45.784Z,2.993,13.376,2.226,1.701,11.640,219.050,waste
